16,1,2022-06-16,8,0,7.0,1.0,0.0,833,173
16,2,2022-06-16,9,0,8.0,1.0,0.0,809,110
17,0,2022-06-16,90,3,70.0,16.0,1.0,3445,645
17,1,2022-06-16,38,1,31.0,5.0,1.0,1744,390
17,2,2022-06-16,51,2,38.0,11.0,0.0,1685,253
18,0,2022-06-16,57,1,32.0,24.0,0.0,2848,658
18,1,2022-06-16,28,1,18.0,9.0,0.0,1355,366
18,2,2022-06-16,26,0,13.0,13.0,0.0,1484,291
19,0,2022-06-16,27,0,20.0,7.0,0.0,2218,360
19,1,2022-06-16,15,0,13.0,2.0,0.0,1104,200
19,2,2022-06-16,12,0,7.0,5.0,0.0,1090,157
21,0,2022-06-16,136,12,79.0,44.0,1.0,6397,1228
21,1,2022-06-16,64,8,31.0,24.0,1.0,3155,705
21,2,2022-06-16,72,4,48.0,20.0,0.0,3204,514
22,0,2022-06-16,51,1,42.0,3.0,5.0,3677,443
22,1,2022-06-16,30,0,24.0,3.0,3.0,1732,229
22,2,2022-06-16,21,1,18.0,0.0,2.0,1932,211
23,0,2022-06-16,13,1,11.0,1.0,0.0,932,152
23,1,2022-06-16,11,1,10.0,0.0,0.0,488,88
23,2,2022-06-16,2,0,1.0,1.0,0.0,441,63
24,0,2022-06-16,87,0,65.0,22.0,0.0,2247,433
24,1,2022-06-16,41,0,33.0,8.0,0.0,1087,245
24,2,2022-06-16,44,0,30.0,14.0,0.0,1140,187
25,0,2022-06-16,40,8,30.0,1.0,1.0,4215,693
25,1,2022-06-16,21,5,16.0,0.0,0.0,2130,408
25,2,2022-06-16,19,3,14.0,1.0,1.0,2076,284
26,0,2022-06-16,57,5,36.0,13.0,3.0,5138,1125
26,1,2022-06-16,30,3,19.0,7.0,1.0,2566,664
26,2,2022-06-16,27,2,17.0,6.0,2.0,2517,444
27,0,2022-06-16,199,1,58.0,140.0,0.0,3267,686
27,1,2022-06-16,82,0,24.0,58.0,0.0,1562,390
27,2,2022-06-16,114,1,34.0,79.0,0.0,1681,290
28,0,2022-06-16,61,3,34.0,22.0,2.0,4990,723
28,1,2022-06-16,27,2,15.0,10.0,0.0,2490,389
28,2,2022-06-16,32,1,19.0,12.0,0.0,2453,331
29,0,2022-06-16,174,11,106.0,54.0,3.0,4481,594
29,1,2022-06-16,81,5,55.0,20.0,1.0,2209,356
29,2,2022-06-16,92,6,50.0,34.0,2.0,2224,233
2A,0,2022-06-16,57,0,40.0,15.0,2.0,1329,216
2A,1,2022-06-16,28,0,18.0,8.0,2.0,668,121
2A,2,2022-06-16,28,0,21.0,7.0,0.0,657,95
2B,0,2022-06-16,52,4,30.0,18.0,0.0,1354,221
2B,1,2022-06-16,30,3,15.0,12.0,0.0,717,124
2B,2,2022-06-16,22,1,15.0,6.0,0.0,632,96
30,0,2022-06-16,118,11,34.0,70.0,3.0,5856,1089
30,1,2022-06-16,55,9,17.0,28.0,1.0,2985,620
30,2,2022-06-16,63,2,17.0,42.0,2.0,2845,466
31,0,2022-06-16,256,19,103.0,111.0,23.0,11294,1358
31,1,2022-06-16,142,15,54.0,62.0,11.0,5744,808
31,2,2022-06-16,114,4,49.0,49.0,12.0,5465,542
32,0,2022-06-16,60,1,25.0,33.0,1.0,1193,201
32,1,2022-06-16,31,0,13.0,17.0,1.0,589,109
32,2,2022-06-16,29,1,12.0,16.0,0.0,597,90
33,0,2022-06-16,306,21,215.0,66.0,4.0,11441,1757
33,1,2022-06-16,172,16,121.0,34.0,1.0,5753,987
33,2,2022-06-16,131,4,92.0,32.0,3.0,5623,761
34,0,2022-06-16,176,13,72.0,88.0,3.0,9999,1657
34,1,2022-06-16,75,8,38.0,27.0,2.0,5042,980
34,2,2022-06-16,100,5,34.0,60.0,1.0,4912,670
35,0,2022-06-16,187,13,133.0,38.0,3.0,7940,1125
35,1,2022-06-16,92,8,69.0,14.0,1.0,3891,634
35,2,2022-06-16,94,5,64.0,23.0,2.0,4006,487
