dep,sexe,jour,hosp,rea,HospConv,SSR_USLD,autres,rad,dc
974,2,2021-02-09,15,4,,,,420,28
976,0,2021-02-09,108,26,,,,680,52
976,1,2021-02-09,44,10,,,,330,33
976,2,2021-02-09,61,16,,,,342,19
978,0,2021-02-09,0,0,,,,0,0
978,1,2021-02-09,0,0,,,,0,0
01,0,2021-02-10,221,21,,,,1966,481
01,1,2021-02-10,107,11,,,,949,285
01,2,2021-02-10,113,10,,,,1000,193
02,0,2021-02-10,279,26,,,,2588,725
02,1,2021-02-10,135,19,,,,1195,410
02,2,2021-02-10,139,6,,,,1382,313
03,0,2021-02-10,239,13,,,,1386,445
03,1,2021-02-10,113,9,,,,639,252
03,2,2021-02-10,124,4,,,,732,184
04,0,2021-02-10,188,6,,,,694,165
04,1,2021-02-10,94,3,,,,317,100
04,2,2021-02-10,91,3,,,,352,59
05,0,2021-02-10,150,7,,,,743,182
05,1,2021-02-10,72,5,,,,373,115
05,2,2021-02-10,76,2,,,,365,67
06,0,2021-02-10,733,96,,,,3639,911
06,1,2021-02-10,359,73,,,,1796,528
06,2,2021-02-10,365,23,,,,1800,373
07,0,2021-02-10,199,13,,,,1399,378
07,1,2021-02-10,93,8,,,,634,233
07,2,2021-02-10,105,5,,,,735,142
08,0,2021-02-10,96,10,,,,785,277
08,1,2021-02-10,42,7,,,,397,164
08,2,2021-02-10,54,3,,,,379,112
09,0,2021-02-10,75,9,,,,193,47
09,1,2021-02-10,37,5,,,,88,27
09,2,2021-02-10,38,4,,,,105,20
10,0,2021-02-10,82,11,,,,1289,290
10,1,2021-02-10,52,9,,,,658,185
10,2,2021-02-10,30,2,,,,627,103
11,0,2021-02-10,180,14,,,,678,208
11,1,2021-02-10,87,10,,,,341,129
11,2,2021-02-10,76,4,,,,336,75
12,0,2021-02-10,84,3,,,,612,156
12,1,2021-02-10,44,2,,,,304,86
12,2,2021-02-10,37,1,,,,299,70
13,0,2021-02-10,1636,248,,,,13246,2362
13,1,2021-02-10,835,168,,,,6759,1388
13,2,2021-02-10,787,77,,,,6405,962
14,0,2021-02-10,208,32,,,,1397,342
14,1,2021-02-10,106,24,,,,665,208
14,2,2021-02-10,98,7,,,,727,132
15,0,2021-02-10,73,3,,,,376,90
15,1,2021-02-10,42,1,,,,179,49
15,2,2021-02-10,30,2,,,,197,39
16,0,2021-02-10,48,6,,,,319,83
16,1,2021-02-10,23,3,,,,169,47
16,2,2021-02-10,24,3,,,,148,34
17,0,2021-02-10,179,22,,,,586,181
17,1,2021-02-10,95,21,,,,323,119
17,2,2021-02-10,84,1,,,,263,62
18,0,2021-02-10,129,9,,,,997,384
18,1,2021-02-10,55,5,,,,452,206
18,2,2021-02-10,74,4,,,,543,177
19,0,2021-02-10,74,10,,,,498,123
19,1,2021-02-10,33,9,,,,254,75
19,2,2021-02-10,41,1,,,,241,47
