dep,sexe,jour,hosp,rea,HospConv,SSR_USLD,autres,rad,dc
02,2,2022-11-27,58,1,33.0,21.0,3.0,4009,704
03,0,2022-11-27,56,3,50.0,3.0,0.0,5403,892
03,1,2022-11-27,25,2,22.0,1.0,0.0,2571,507
03,2,2022-11-27,31,1,28.0,2.0,0.0,2770,373
04,0,2022-11-27,88,1,33.0,54.0,0.0,2401,377
04,1,2022-11-27,43,1,17.0,25.0,0.0,1167,217
04,2,2022-11-27,44,0,16.0,28.0,0.0,1198,152
05,0,2022-11-27,90,4,48.0,38.0,0.0,2787,388
05,1,2022-11-27,36,3,15.0,18.0,0.0,1383,219
05,2,2022-11-27,54,1,33.0,20.0,0.0,1378,166
06,0,2022-11-27,318,17,174.0,112.0,15.0,13166,2542
06,1,2022-11-27,135,10,76.0,42.0,7.0,6550,1466
06,2,2022-11-27,173,6,96.0,63.0,8.0,6389,1037
07,0,2022-11-27,34,0,25.0,9.0,0.0,4028,657
07,1,2022-11-27,18,0,14.0,4.0,0.0,1908,384
07,2,2022-11-27,16,0,11.0,5.0,0.0,2074,269
08,0,2022-11-27,204,0,113.0,77.0,14.0,2223,526
08,1,2022-11-27,92,0,52.0,32.0,8.0,1067,295
08,2,2022-11-27,111,0,60.0,45.0,6.0,1139,229
09,0,2022-11-27,27,4,16.0,7.0,0.0,1346,237
09,1,2022-11-27,14,3,9.0,2.0,0.0,658,123
09,2,2022-11-27,13,1,7.0,5.0,0.0,681,114
10,0,2022-11-27,50,4,36.0,7.0,3.0,3421,605
10,1,2022-11-27,34,4,26.0,3.0,1.0,1695,355
10,2,2022-11-27,15,0,10.0,3.0,2.0,1706,247
11,0,2022-11-27,102,2,52.0,44.0,4.0,3288,643
11,1,2022-11-27,44,1,25.0,16.0,2.0,1620,371
11,2,2022-11-27,57,1,26.0,28.0,2.0,1632,255
12,0,2022-11-27,72,2,40.0,29.0,1.0,2534,420
12,1,2022-11-27,29,0,18.0,10.0,1.0,1257,251
12,2,2022-11-27,42,2,22.0,18.0,0.0,1246,164
13,0,2022-11-27,626,42,342.0,236.0,6.0,44283,5928
13,1,2022-11-27,285,26,163.0,92.0,4.0,21938,3451
13,2,2022-11-27,335,16,177.0,140.0,2.0,21984,2433
14,0,2022-11-27,124,4,109.0,9.0,2.0,6687,977
14,1,2022-11-27,61,2,55.0,2.0,2.0,3145,543
14,2,2022-11-27,55,2,46.0,7.0,0.0,3403,419
15,0,2022-11-27,40,3,33.0,4.0,0.0,1584,243
15,1,2022-11-27,23,2,18.0,3.0,0.0,798,133
15,2,2022-11-27,17,1,15.0,1.0,0.0,779,106
16,0,2022-11-27,52,1,44.0,7.0,0.0,2137,337
16,1,2022-11-27,31,1,27.0,3.0,0.0,1082,199
16,2,2022-11-27,21,0,17.0,4.0,0.0,1032,135
17,0,2022-11-27,119,8,75.0,32.0,4.0,4819,783
17,1,2022-11-27,62,7,43.0,10.0,2.0,2378,476
17,2,2022-11-27,56,1,31.0,22.0,2.0,2419,305
18,0,2022-11-27,100,0,62.0,38.0,0.0,3544,741
18,1,2022-11-27,33,0,17.0,16.0,0.0,1680,414
18,2,2022-11-27,66,0,44.0,22.0,0.0,1848,326
19,0,2022-11-27,100,7,85.0,7.0,1.0,2934,394
19,1,2022-11-27,47,3,39.0,4.0,1.0,1447,218
19,2,2022-11-27,53,4,46.0,3.0,0.0,1463,173
21,0,2022-11-27,208,23,126.0,56.0,3.0,7716,1347
21,1,2022-11-27,105,16,59.0,27.0,3.0,3741,777
21,2,2022-11-27,102,7,66.0,29.0,0.0,3930,561
22,0,2022-11-27,77,1,66.0,9.0,1.0,4740,510
22,1,2022-11-27,36,1,30.0,5.0,0.0,2213,272
22,2,2022-11-27,41,0,36.0,4.0,1.0,2509,235
23,0,2022-11-27,27,4,17.0,6.0,0.0,1125,171
23,1,2022-11-27,23,4,15.0,4.0,0.0,583,105
23,2,2022-11-27,4,0,2.0,2.0,0.0,539,65
24,0,2022-11-27,137,2,102.0,33.0,0.0,3140,505
24,1,2022-11-27,74,1,60.0,13.0,0.0,1541,288
24,2,2022-11-27,63,1,42.0,20.0,0.0,1571,214
25,0,2022-11-27,60,14,44.0,1.0,1.0,4973,749
25,1,2022-11-27,29,10,19.0,0.0,0.0,2465,443
25,2,2022-11-27,31,4,25.0,1.0,1.0,2499,305
26,0,2022-11-27,90,11,61.0,14.0,4.0,6025,1190
26,1,2022-11-27,47,7,32.0,7.0,1.0,2986,706
26,2,2022-11-27,43,4,29.0,7.0,3.0,2979,467
27,0,2022-11-27,181,4,94.0,83.0,0.0,3952,757
27,1,2022-11-27,88,0,43.0,45.0,0.0,1871,429
27,2,2022-11-27,91,4,51.0,36.0,0.0,2050,321
28,0,2022-11-27,128,5,81.0,31.0,11.0,5993,785
28,1,2022-11-27,63,3,42.0,14.0,4.0,2967,422
28,2,2022-11-27,64,2,39.0,16.0,7.0,2970,360
29,0,2022-11-27,146,12,94.0,36.0,4.0,6537,721
29,1,2022-11-27,71,7,43.0,19.0,2.0,3236,425
29,2,2022-11-27,73,5,50.0,16.0,2.0,3206,287
2A,0,2022-11-27,82,3,50.0,27.0,2.0,1703,243
2A,1,2022-11-27,35,2,24.0,7.0,2.0,864,137
2A,2,2022-11-27,47,1,26.0,20.0,0.0,834,106
2B,0,2022-11-27,32,1,17.0,14.0,0.0,1675,255
2B,1,2022-11-27,14,0,8.0,6.0,0.0,900,145
2B,2,2022-11-27,18,1,9.0,8.0,0.0,770,109
30,0,2022-11-27,120,6,62.0,47.0,5.0,6562,1161
30,1,2022-11-27,60,4,35.0,20.0,1.0,3308,655
30,2,2022-11-27,60,2,27.0,27.0,4.0,3224,501
31,0,2022-11-27,265,23,111.0,111.0,20.0,12991,1461
31,1,2022-11-27,132,17,55.0,54.0,6.0,6620,867
31,2,2022-11-27,130,5,55.0,56.0,14.0,6277,586
32,0,2022-11-27,61,0,41.0,19.0,1.0,1613,241
32,1,2022-11-27,25,0,20.0,4.0,1.0,798,131
32,2,2022-11-27,36,0,21.0,15.0,0.0,807,108
33,0,2022-11-27,439,41,317.0,77.0,4.0,13664,1918
33,1,2022-11-27,247,34,167.0,45.0,1.0,6894,1081
33,2,2022-11-27,189,7,147.0,32.0,3.0,6685,828
34,0,2022-11-27,233,13,119.0,99.0,2.0,11812,1824
34,1,2022-11-27,115,9,61.0,44.0,1.0,5943,1086
34,2,2022-11-27,116,4,57.0,54.0,1.0,5820,731
35,0,2022-11-27,226,15,171.0,38.0,2.0,9746,1243
35,1,2022-11-27,100,12,72.0,16.0,0.0,4800,703
35,2,2022-11-27,125,3,98.0,22.0,2.0,4898,534
36,0,2022-11-27,57,0,30.0,27.0,0.0,2404,403
36,1,2022-11-27,23,0,12.0,11.0,0.0,1184,219
36,2,2022-11-27,34,0,18.0,16.0,0.0,1183,180
37,0,2022-11-27,126,5,58.0,61.0,2.0,4453,735
37,1,2022-11-27,64,5,25.0,33.0,1.0,2308,461
37,2,2022-11-27,61,0,32.0,28.0,1.0,2132,271
38,0,2022-11-27,449,19,263.0,152.0,15.0,15140,2573
38,1,2022-11-27,228,15,139.0,69.0,5.0,7345,1505
38,2,2022-11-27,214,4,120.0,81.0,9.0,7719,1057
39,0,2022-11-27,60,6,24.0,27.0,3.0,3805,671
39,1,2022-11-27,31,2,12.0,15.0,2.0,1748,359
39,2,2022-11-27,29,4,12.0,12.0,1.0,2035,309
40,0,2022-11-27,45,3,36.0,6.0,0.0,2565,430
40,1,2022-11-27,20,3,14.0,3.0,0.0,1295,229
40,2,2022-11-27,25,0,22.0,3.0,0.0,1265,198
41,0,2022-11-27,166,3,80.0,72.0,11.0,3553,557
41,1,2022-11-27,89,3,36.0,44.0,6.0,1701,319
41,2,2022-11-27,77,0,44.0,28.0,5.0,1834,236
42,0,2022-11-27,176,7,125.0,42.0,2.0,10622,1905
42,1,2022-11-27,81,2,59.0,20.0,0.0,5222,1114
42,2,2022-11-27,94,5,65.0,22.0,2.0,5330,779
43,0,2022-11-27,79,0,66.0,13.0,0.0,3010,414
43,1,2022-11-27,30,0,25.0,5.0,0.0,1455,240
43,2,2022-11-27,48,0,40.0,8.0,0.0,1529,171
44,0,2022-11-27,81,6,69.0,6.0,0.0,9812,1377
44,1,2022-11-27,47,2,42.0,3.0,0.0,4807,774
44,2,2022-11-27,34,4,27.0,3.0,0.0,4976,601
45,0,2022-11-27,277,24,118.0,120.0,15.0,6149,997
45,1,2022-11-27,133,16,53.0,55.0,9.0,3015,595
45,2,2022-11-27,142,8,65.0,64.0,5.0,3104,397
46,0,2022-11-27,27,0,16.0,11.0,0.0,1355,180
46,1,2022-11-27,16,0,12.0,4.0,0.0,672,111
46,2,2022-11-27,11,0,4.0,7.0,0.0,672,68
47,0,2022-11-27,28,1,24.0,3.0,0.0,2433,434
47,1,2022-11-27,15,0,13.0,2.0,0.0,1236,251
47,2,2022-11-27,13,1,11.0,1.0,0.0,1137,178
48,0,2022-11-27,10,1,6.0,3.0,0.0,721,163
48,1,2022-11-27,2,0,1.0,1.0,0.0,383,90
48,2,2022-11-27,8,1,5.0,2.0,0.0,332,72
49,0,2022-11-27,122,6,87.0,29.0,0.0,8434,1177
49,1,2022-11-27,62,3,48.0,11.0,0.0,4048,723
49,2,2022-11-27,59,3,38.0,18.0,0.0,4342,450
50,0,2022-11-27,209,0,91.0,118.0,0.0,4383,690
50,1,2022-11-27,99,0,45.0,54.0,0.0,2056,387
50,2,2022-11-27,107,0,43.0,64.0,0.0,2266,295
51,0,2022-11-27,165,17,103.0,45.0,0.0,7517,1286
51,1,2022-11-27,68,10,45.0,13.0,0.0,3686,734
51,2,2022-11-27,91,7,58.0,26.0,0.0,3724,538
52,0,2022-11-27,60,2,45.0,12.0,1.0,2683,517
52,1,2022-11-27,29,1,23.0,5.0,0.0,1263,270
52,2,2022-11-27,31,1,22.0,7.0,1.0,1390,242
53,0,2022-11-27,27,0,25.0,2.0,0.0,2797,412
53,1,2022-11-27,10,0,9.0,1.0,0.0,1355,235
53,2,2022-11-27,17,0,16.0,1.0,0.0,1435,177
54,0,2022-11-27,178,9,101.0,56.0,12.0,8693,1655
54,1,2022-11-27,79,5,53.0,17.0,4.0,4230,942
54,2,2022-11-27,96,4,47.0,38.0,7.0,4405,699
55,0,2022-11-27,79,7,62.0,7.0,3.0,2145,477
55,1,2022-11-27,35,7,24.0,3.0,1.0,1064,273
55,2,2022-11-27,42,0,36.0,4.0,2.0,1070,203
56,0,2022-11-27,95,4,69.0,21.0,1.0,5929,798
56,1,2022-11-27,37,1,31.0,5.0,0.0,2870,445
56,2,2022-11-27,57,2,38.0,16.0,1.0,3014,348
57,0,2022-11-27,294,10,209.0,63.0,12.0,13166,3185
57,1,2022-11-27,136,6,104.0,20.0,6.0,6481,1776
57,2,2022-11-27,152,4,101.0,41.0,6.0,6583,1384
58,0,2022-11-27,52,0,27.0,25.0,0.0,2455,465
58,1,2022-11-27,23,0,13.0,10.0,0.0,1174,253
